id,region,year,manufacturer,condition,cylinders,fuel,odometer,title_status,transmission,drive,size,type,paint_color,state,price
54080,medford-ashland,1983,chevrolet,fair,4 cylinders,gas,212361,clean,automatic,fwd,full-size,other,green,or,2803.1012366837476
54081,toledo,2019,ford,excellent,8 cylinders,,11887,clean,automatic,rwd,full-size,SUV,black,oh,23184.345326341372
54082,outer banks,2012,lincoln,excellent,6 cylinders,gas,153018,clean,manual,4wd,mid-size,SUV,black,nc,11037.826702890732
54083,la crosse,2013,nissan,good,other,electric,62618,clean,other,fwd,full-size,hatchback,blue,wi,9582.097333912932
54084,colorado springs,2018,fiat,like new,4 cylinders,gas,56645,lien,automatic,fwd,compact,convertible,black,co,13623.054656513727
54085,york,2013,bmw,excellent,6 cylinders,gas,40099,clean,other,rwd,full-size,sedan,black,,15472.591665399092
54086,san diego,2008,jeep,excellent,4 cylinders,gas,167684,clean,automatic,fwd,full-size,SUV,black,ca,7697.243508244231
54087,harrisonburg,1983,FORD,good,8 cylinders,diesel,107072,clean,automatic,rwd,full-size,truck,white,va,14287.817683453752
54088,portland,1998,honda,good,4 cylinders,gas,118446,clean,automatic,fwd,compact,hatchback,black,or,5660.5588448560475
54089,las vegas,1939,bmw,excellent,8 cylinders,gas,72927,clean,automatic,rwd,compact,coupe,black,nv,7172.511399222269
54090,san antonio,2009,toyota,like new,4 cylinders,gas,58925,clean,automatic,fwd,full-size,sedan,black,tx,10768.593762957255
54091,baltimore,2011,honda,good,4 cylinders,gas,142287,clean,automatic,fwd,mid-size,sedan,blue,md,5762.278063669736
54092,south jersey,2017,toyota,excellent,4 cylinders,gas,44405,rebuilt,automatic,fwd,compact,coupe,silver,nj,12299.846970613607
54093,new york city,2010,volkswagen,like new,4 cylinders,gas,95697,clean,manual,fwd,compact,sedan,silver,,6728.92610799297
54094,las cruces,2004,ram,like new,8 cylinders,gas,151794,clean,automatic,4wd,full-size,truck,blue,nm,16134.156370365183
54095,colorado springs,1966,gmc,fair,8 cylinders,gas,104998,clean,automatic,rwd,full-size,truck,blue,co,6785.0388823767535
54096,stockton,2014,bmw,excellent,6 cylinders,gas,40747,clean,automatic,rwd,full-size,SUV,black,ca,18225.869721007868
54097,charlottesville,2006,nissan,good,6 cylinders,gas,121597,clean,automatic,fwd,mid-size,SUV,black,va,6988.393431256728
54098,dallas / fort worth,2006,chevrolet,excellent,6 cylinders,,156400,clean,automatic,4wd,full-size,truck,black,,14141.36581539544
54099,brownsville,2017,ford,excellent,6 cylinders,gas,4572,clean,automatic,rwd,compact,sedan,blue,tx,18902.221550721588
54100,nashville,1988,chevrolet,like new,8 cylinders,diesel,146148,clean,automatic,rwd,full-size,truck,white,tn,16647.186448049157
54101,pittsburgh,2009,chevrolet,good,4 cylinders,gas,183535,clean,automatic,fwd,full-size,sedan,white,pa,5826.984772462114
54102,richmond,2013,volkswagen,excellent,4 cylinders,gas,165328,clean,automatic,fwd,mid-size,sedan,silver,va,5447.892995404668
54103,central NJ,2014,ford,excellent,4 cylinders,gas,60362,clean,automatic,fwd,full-size,van,silver,nj,12977.77729511726
54104,roanoke,2007,toyota,good,6 cylinders,gas,194927,clean,manual,fwd,full-size,truck,black,,5906.830811120353
54105,rochester,2018,jeep,like new,6 cylinders,gas,183762,lien,automatic,4wd,full-size,pickup,black,,13858.54193181977
54106,central NJ,2012,chevrolet,like new,4 cylinders,gas,150610,clean,automatic,fwd,full-size,SUV,green,nj,7748.425482426521
54107,toledo,2002,CHEVROLET,good,6 cylinders,gas,174604,clean,automatic,rwd,full-size,truck,black,oh,9374.06936584186
54108,memphis,1999,ford,like new,6 cylinders,gas,117214,clean,automatic,fwd,full-size,coupe,red,,8681.570751511215
54109,inland empire,2012,TOYOTA,excellent,4 cylinders,gas,151580,rebuilt,automatic,fwd,compact,sedan,black,ca,7133.799564097631
54110,san diego,2016,ford,like new,6 cylinders,gas,120231,clean,automatic,4wd,full-size,pickup,black,ca,17329.339481709252
54111,madison,2014,ford,good,4 cylinders,gas,98054,clean,automatic,fwd,mid-size,sedan,black,wi,8181.600718098668
54112,central NJ,2009,ford,excellent,8 cylinders,gas,140222,clean,automatic,fwd,full-size,SUV,silver,nj,8358.516452336049
54113,dayton / springfield,2014,mercury,good,6 cylinders,gas,105440,clean,other,fwd,full-size,SUV,blue,oh,6627.368314486763
54114,cleveland,2010,jeep,excellent,6 cylinders,gas,95912,clean,automatic,4wd,mid-size,SUV,custom,oh,14378.429846987094
54115,madison,2001,subaru,fair,4 cylinders,gas,193789,parts only,automatic,fwd,mid-size,SUV,green,wi,3610.4421182432548
54116,tucson,2013,chevrolet,excellent,4 cylinders,gas,10403,salvage,automatic,rwd,mid-size,sedan,silver,az,17696.633264337546
54117,indianapolis,2008,ford,excellent,8 cylinders,diesel,126590,clean,automatic,4wd,full-size,SUV,black,in,17146.51732025633
54118,redding,2009,ford,good,6 cylinders,gas,112511,clean,automatic,fwd,full-size,van,white,,9159.162601094115
54119,palm springs,2012,hyundai,excellent,4 cylinders,gas,74205,clean,automatic,fwd,compact,sedan,black,ca,7545.16014727479
54120,roanoke,2015,nissan,like new,4 cylinders,gas,107424,clean,automatic,fwd,compact,sedan,black,va,8221.327840680746
54121,dallas / fort worth,2011,subaru,excellent,4 cylinders,gas,94531,clean,manual,fwd,mid-size,sedan,white,tx,11021.309621351857
54122,flint,2008,ford,excellent,6 cylinders,gas,151598,,automatic,4wd,full-size,,black,mi,12025.8813688948
54123,tucson,2013,ford,excellent,6 cylinders,gas,123240,clean,automatic,fwd,mid-size,sedan,white,az,9493.581714880163
54124,north jersey,2017,toyota,excellent,4 cylinders,gas,30180,salvage,automatic,fwd,full-size,van,black,nj,14484.676531113479
54125,philadelphia,2017,chevrolet,excellent,6 cylinders,gas,15133,clean,manual,fwd,mid-size,coupe,black,,16481.56423176386
54126,jacksonville,2012,ford,good,6 cylinders,gas,90357,clean,automatic,4wd,full-size,SUV,red,fl,12083.871981386277
54127,tulsa,2002,ford,excellent,8 cylinders,,149915,clean,manual,rwd,full-size,truck,black,ok,12429.26083286879
54128,corpus christi,2012,subaru,excellent,4 cylinders,gas,136868,clean,automatic,fwd,mid-size,SUV,silver,tx,9571.13744056769
54129,gold country,1998,buick,fair,6 cylinders,,163600,rebuilt,automatic,fwd,full-size,other,blue,ca,5237.1025893314345
54130,maine,2008,ford,good,8 cylinders,diesel,149250,clean,automatic,4wd,full-size,SUV,blue,me,12896.124999024005
54131,syracuse,2007,jeep,good,8 cylinders,gas,107422,clean,automatic,4wd,full-size,SUV,black,ny,10719.92313017667
54132,rhode island,2010,mercedes-benz,excellent,6 cylinders,gas,108430,clean,automatic,rwd,full-size,coupe,black,ri,13987.308566231975
54133,sarasota-bradenton,2010,chevrolet,excellent,8 cylinders,gas,111150,clean,automatic,4wd,full-size,pickup,black,,16288.16046990535
54134,colorado springs,2013,nissan,good,6 cylinders,,92455,clean,automatic,fwd,compact,sedan,red,co,6233.395100597876
54135,hudson valley,2012,ford,excellent,8 cylinders,gas,113962,clean,automatic,fwd,full-size,sedan,black,ny,8922.966056209974
54136,reno / tahoe,1971,ford,good,8 cylinders,gas,19599,rebuilt,automatic,rwd,full-size,convertible,white,ca,14250.931261826332
54137,corpus christi,2007,lexus,excellent,4 cylinders,gas,144380,clean,automatic,fwd,mid-size,SUV,red,tx,7817.983536753232
54138,yuma,1990,mazda,fair,6 cylinders,gas,86181,clean,manual,fwd,compact,coupe,green,az,3742.4115338092856
54139,central NJ,2010,honda,excellent,4 cylinders,gas,87065,clean,automatic,fwd,full-size,sedan,black,nj,8694.932948484782
54140,great falls,2013,toyota,excellent,6 cylinders,gas,64907,clean,automatic,fwd,mid-size,SUV,blue,mt,12381.518260673101
54141,rochester,2013,CHEVROLET,like new,4 cylinders,gas,6344,clean,automatic,fwd,full-size,SUV,grey,ny,18469.694612544867
54142,savannah / hinesville,2016,ford,like new,4 cylinders,gas,163004,clean,automatic,fwd,compact,SUV,silver,ga,7998.969916560116
54143,modesto,2004,volkswagen,excellent,6 cylinders,gas,104375,clean,automatic,fwd,full-size,van,blue,,8545.747097819924
54144,tampa bay area,2014,honda,excellent,4 cylinders,gas,67269,clean,automatic,fwd,compact,sedan,blue,fl,9263.646759027686
54145,ames,2011,chevrolet,good,4 cylinders,gas,114681,clean,automatic,fwd,compact,coupe,blue,ia,7938.851438494712
54146,columbia / jeff city,2015,toyota,excellent,4 cylinders,gas,228761,clean,automatic,fwd,full-size,sedan,black,mo,5140.8617509847
54147,san antonio,1975,bmw,like new,6 cylinders,gas,8841,clean,automatic,rwd,full-size,coupe,black,tx,15088.833251004062
54148,western massachusetts,2012,ford,excellent,6 cylinders,gas,237303,rebuilt,automatic,rwd,full-size,SUV,black,ma,8941.489493869496
54149,charlotte,2012,ford,excellent,4 cylinders,gas,132094,rebuilt,automatic,fwd,mid-size,sedan,blue,nc,9722.51834750967
54150,indianapolis,1972,ford,good,4 cylinders,,84729,clean,automatic,fwd,compact,SUV,green,in,5243.524344947756
54151,wichita,2011,ford,good,4 cylinders,gas,181419,clean,automatic,fwd,compact,sedan,black,ks,5054.516751617467
54152,northern michigan,2012,cadillac,excellent,6 cylinders,gas,124363,clean,automatic,4wd,full-size,sedan,silver,mi,11011.537279639408
54153,central NJ,2006,bmw,excellent,6 cylinders,gas,126430,clean,automatic,fwd,full-size,sedan,black,,7693.708942107159
54154,erie,2013,toyota,like new,6 cylinders,gas,197789,rebuilt,manual,fwd,full-size,sedan,silver,pa,5992.727405005228
54155,eugene,2010,TOYOTA,good,6 cylinders,gas,82287,rebuilt,automatic,fwd,mid-size,sedan,silver,or,7700.387602013003
54156,grand rapids,2016,ford,excellent,8 cylinders,diesel,83567,clean,automatic,4wd,full-size,pickup,black,mi,24778.55024712367
54157,richmond,2011,bmw,excellent,6 cylinders,gas,116311,clean,automatic,fwd,full-size,sedan,black,va,8394.179504120966
54158,eugene,2008,jeep,fair,6 cylinders,gas,244843,clean,manual,4wd,mid-size,SUV,silver,or,4340.3810369923685
54159,albany,1995,ford,good,8 cylinders,gas,190265,clean,manual,4wd,full-size,truck,green,ny,6436.407443964986
54160,new hampshire,2016,subaru,excellent,4 cylinders,gas,112572,clean,automatic,4wd,compact,wagon,black,,13803.701477610824
54161,las vegas,2017,toyota,like new,4 cylinders,gas,16121,clean,automatic,fwd,mid-size,hatchback,silver,nv,14402.557312468683
54162,cleveland,2008,chevrolet,like new,4 cylinders,gas,49871,clean,automatic,fwd,full-size,sedan,black,oh,12612.668383168708
54163,san diego,2010,ford,like new,4 cylinders,gas,192616,salvage,manual,fwd,full-size,sedan,blue,ca,6608.732338604965
54164,bozeman,2013,toyota,excellent,4 cylinders,diesel,282055,clean,automatic,4wd,full-size,SUV,silver,mt,7769.21387447114
54165,spokane / coeur d'alene,2017,ford,excellent,8 cylinders,diesel,251702,clean,automatic,4wd,full-size,truck,black,,12456.947673549255
54166,cleveland,1989,toyota,excellent,6 cylinders,gas,101524,clean,automatic,fwd,compact,SUV,white,oh,8138.520618402297
54167,central NJ,2005,ford,excellent,4 cylinders,gas,181668,clean,automatic,fwd,mid-size,pickup,silver,nj,7829.781946926122
54168,tallahassee,2004,ｔｏｙｏｔａ,good,6 cylinders,gas,141666,clean,manual,fwd,full-size,van,blue,fl,6525.164675970332
54169,upper peninsula,1988,chevrolet,good,6 cylinders,gas,23525,clean,automatic,rwd,full-size,truck,black,mi,16096.269858266503
54170,mcallen / edinburg,1993,volkswagen,good,6 cylinders,gas,186575,clean,other,fwd,compact,sedan,white,tx,3520.7225850060577
54171,boise,2011,RAM,excellent,6 cylinders,diesel,78348,clean,automatic,4wd,full-size,truck,black,id,29311.979489378118
54172,northwest OK,2016,chrysler,like new,4 cylinders,gas,93755,clean,automatic,fwd,mid-size,sedan,black,,8714.71315739792
54173,bend,1995,RAM,fair,8 cylinders,gas,95121,clean,automatic,rwd,full-size,truck,silver,,9893.79516654535
54174,kalispell,2010,ford,excellent,6 cylinders,gas,10205,clean,manual,rwd,mid-size,truck,white,mt,26162.9185555393
54175,duluth / superior,2010,jeep,excellent,4 cylinders,gas,120066,clean,automatic,4wd,mid-size,SUV,black,mn,13377.72068648528
54176,buffalo,2015,acura,excellent,4 cylinders,gas,83767,salvage,automatic,fwd,mid-size,sedan,black,ny,8483.370165420332
54177,omaha / council bluffs,2014,ford,excellent,4 cylinders,gas,148320,rebuilt,automatic,4wd,mid-size,SUV,black,ia,14424.693218402139
54178,san antonio,2008,honda,excellent,4 cylinders,gas,167580,clean,automatic,fwd,full-size,sedan,green,tx,4748.187367764164
54179,flint,2012,acura,excellent,4 cylinders,gas,143544,clean,automatic,4wd,full-size,SUV,black,mi,10373.610792365795
54180,central NJ,2014,kia,excellent,4 cylinders,gas,79997,clean,automatic,fwd,mid-size,sedan,black,nj,9771.159034363378
54181,northern michigan,1996,BMW,excellent,8 cylinders,gas,75760,rebuilt,automatic,rwd,full-size,SUV,blue,mi,14866.70102334466
54182,central NJ,1985,chevrolet,good,8 cylinders,gas,119644,clean,automatic,fwd,full-size,truck,white,nj,8246.318116910747
54183,boise,2004,jeep,excellent,4 cylinders,gas,115874,clean,automatic,fwd,mid-size,SUV,black,id,9397.305589045058
54184,"kansas city, MO",2015,NISSAN,like new,4 cylinders,gas,174669,clean,automatic,fwd,compact,sedan,blue,mo,6291.120439372458
54185,central NJ,2012,HONDA,excellent,6 cylinders,gas,195415,clean,automatic,fwd,mid-size,SUV,green,nj,5070.337982966467
54186,central NJ,1998,RAM,good,6 cylinders,diesel,127789,clean,manual,4wd,full-size,SUV,black,nj,14341.330633096732
54187,north jersey,2006,lexus,good,4 cylinders,gas,118005,clean,automatic,fwd,mid-size,SUV,white,nj,8167.4738867668475
54188,vermont,2005,toyota,good,6 cylinders,gas,160247,clean,other,4wd,full-size,truck,silver,vt,8778.384148573125
54189,des moines,2011,chevrolet,good,8 cylinders,gas,95520,clean,automatic,fwd,full-size,sedan,white,ia,8440.648622989613
54190,greensboro,2013,BMW,excellent,6 cylinders,gas,79193,clean,manual,4wd,compact,SUV,black,nc,14488.684161529827
54191,dayton / springfield,2000,ｃｈｅｖｒｏｌｅｔ,good,8 cylinders,gas,145854,clean,manual,rwd,full-size,SUV,black,oh,8577.21658184777
54192,jacksonville,2015,bmw,excellent,4 cylinders,gas,72153,clean,manual,fwd,full-size,coupe,blue,fl,11925.347816740292
54193,central NJ,2010,ford,good,8 cylinders,gas,98793,clean,automatic,fwd,full-size,SUV,black,,8849.024453002638
54194,lawton,2009,chevrolet,excellent,4 cylinders,gas,140329,clean,automatic,fwd,mid-size,sedan,green,ok,6495.603215136936
54195,fredericksburg,1978,bmw,excellent,6 cylinders,gas,98594,clean,automatic,fwd,mid-size,coupe,silver,va,7116.653096098707
54196,augusta,2018,honda,excellent,4 cylinders,gas,13859,clean,automatic,fwd,compact,hatchback,black,,13127.3609139896
54197,billings,2017,lincoln,excellent,6 cylinders,gas,190959,rebuilt,automatic,fwd,mid-size,sedan,blue,mt,7058.567084857935
54198,indianapolis,2005,ford,good,8 cylinders,gas,96741,clean,automatic,fwd,full-size,truck,black,in,9942.752673922945
54199,richmond,2013,chevrolet,good,8 cylinders,gas,148967,clean,automatic,4wd,full-size,SUV,black,va,10248.23308226682
54200,green bay,2008,ford,excellent,8 cylinders,gas,30735,clean,automatic,fwd,full-size,sedan,brown,wi,10280.558288318183
54201,akron / canton,2008,bmw,like new,6 cylinders,gas,91584,clean,automatic,rwd,full-size,sedan,black,oh,12458.940073851061
54202,rhode island,2004,honda,excellent,4 cylinders,gas,203245,clean,manual,fwd,mid-size,SUV,silver,ri,5266.0016547999085
54203,cedar rapids,1993,ford,like new,8 cylinders,diesel,80320,clean,automatic,4wd,full-size,truck,black,ia,22512.626654688444
54204,nashville,2013,ford,excellent,4 cylinders,gas,78090,clean,automatic,rwd,mid-size,van,silver,tn,15623.544925383509
54205,hudson valley,2016,kia,excellent,6 cylinders,gas,68035,rebuilt,automatic,fwd,mid-size,SUV,silver,ny,12366.421585227094
54206,chicago,2011,ford,excellent,6 cylinders,gas,33427,clean,automatic,fwd,mid-size,sedan,black,il,12962.7377811077
54207,louisville,2013,FORD,good,6 cylinders,diesel,123807,clean,automatic,4wd,full-size,pickup,white,ky,17862.601393611076
54208,hartford,2006,hyundai,excellent,4 cylinders,,192721,rebuilt,automatic,fwd,full-size,sedan,black,ct,5281.885732081677
54209,albany,2018,MITSUBISHI,good,4 cylinders,gas,80041,rebuilt,automatic,fwd,mid-size,coupe,blue,ny,11821.00930661335
54210,lexington,2019,jeep,excellent,6 cylinders,gas,3006,clean,manual,4wd,full-size,offroad,white,ky,25808.891542084562
54211,bismarck,1989,ford,fair,8 cylinders,gas,124850,clean,manual,rwd,full-size,coupe,green,nd,5006.7717522518815
54212,monterey bay,1996,chevrolet,fair,8 cylinders,gas,109102,clean,manual,rwd,full-size,truck,grey,ca,8862.365630663142
54213,boulder,2010,bmw,excellent,6 cylinders,gas,101141,clean,automatic,4wd,full-size,SUV,black,co,14297.693352594717
54214,new york city,2016,jeep,excellent,6 cylinders,gas,144941,clean,automatic,4wd,full-size,SUV,black,ny,12428.68808475396
54215,rochester,2012,jeep,excellent,8 cylinders,gas,101639,clean,automatic,4wd,full-size,SUV,black,ny,14189.970037459001
54216,north jersey,2012,ford,like new,6 cylinders,gas,116282,clean,automatic,fwd,full-size,sedan,black,nj,9479.692080779441
54217,philadelphia,2007,mercury,good,6 cylinders,,221650,clean,manual,rwd,full-size,SUV,black,pa,4801.688741772502
54218,SF bay area,2019,dodge,like new,6 cylinders,gas,60170,rebuilt,automatic,fwd,mid-size,coupe,black,,15379.073343937853
54219,SF bay area,2012,kia,excellent,4 cylinders,gas,44058,clean,automatic,fwd,mid-size,hatchback,blue,ca,12847.496438982675
54220,mcallen / edinburg,2014,CHEVROLET,excellent,6 cylinders,gas,7792,clean,automatic,fwd,mid-size,pickup,white,tx,21130.185761002635
54221,des moines,2017,chevrolet,good,4 cylinders,gas,46005,clean,automatic,fwd,mid-size,hatchback,white,ia,12769.53728837293
54222,bakersfield,2014,ford,excellent,6 cylinders,gas,109352,clean,automatic,4wd,full-size,SUV,silver,,14065.79564422813
54223,nashville,2013,ford,excellent,8 cylinders,gas,147667,clean,automatic,fwd,full-size,sedan,red,tn,7133.075133723111
54224,eugene,2010,honda,good,6 cylinders,,179291,clean,automatic,fwd,full-size,sedan,black,or,4794.558172414178
54225,madison,2016,ford,excellent,4 cylinders,gas,8504,clean,automatic,fwd,mid-size,sedan,grey,wi,15125.256428088322
54226,orlando,2014,FORD,excellent,4 cylinders,gas,96385,salvage,manual,fwd,mid-size,sedan,black,fl,9739.692940889112
54227,cincinnati,2016,ford,good,8 cylinders,gas,138700,clean,manual,fwd,full-size,sedan,white,oh,6974.19906173332
54228,"washington, DC",2003,chevrolet,good,6 cylinders,gas,125274,clean,manual,rwd,mid-size,coupe,silver,dc,8785.196874351603
54229,tyler / east TX,2014,VOLKSWAGEN,excellent,4 cylinders,gas,64215,rebuilt,automatic,fwd,compact,sedan,yellow,tx,9364.982788810978
54230,phoenix,2014,CHEVROLET,excellent,6 cylinders,gas,108462,clean,automatic,fwd,full-size,sedan,blue,az,9967.332296172111
54231,long island,2013,ford,excellent,6 cylinders,gas,102436,clean,automatic,fwd,full-size,sedan,silver,ny,8940.769605737063
54232,greensboro,1951,ford,excellent,8 cylinders,gas,121095,clean,manual,4wd,full-size,truck,grey,nc,9286.051896828374
54233,muncie / anderson,2007,buick,excellent,4 cylinders,gas,235797,clean,automatic,fwd,full-size,sedan,blue,in,4914.391159348214
54234,lansing,2007,honda,good,4 cylinders,gas,123627,clean,manual,fwd,compact,sedan,blue,mi,5381.14421305233
54235,austin,2010,ford,excellent,4 cylinders,gas,146202,clean,automatic,fwd,mid-size,sedan,silver,tx,7313.690982122613
54236,columbia,2007,chevrolet,excellent,4 cylinders,gas,177196,clean,automatic,4wd,full-size,SUV,green,sc,8673.300299540053
54237,gold country,2013,buick,like new,4 cylinders,gas,87829,clean,manual,fwd,full-size,sedan,black,ca,9854.629504150193
54238,colorado springs,2007,acura,excellent,6 cylinders,gas,155949,clean,automatic,fwd,full-size,sedan,blue,co,5958.7315548465795
54239,st george,2001,ford,excellent,6 cylinders,gas,154750,rebuilt,automatic,fwd,full-size,SUV,black,ut,8962.31702330148
54240,wilmington,2012,ford,excellent,6 cylinders,gas,123246,rebuilt,automatic,fwd,mid-size,sedan,black,de,9754.03369246125
54241,duluth / superior,2017,jeep,excellent,6 cylinders,diesel,101910,clean,automatic,4wd,mid-size,SUV,grey,mn,19794.45480585978
54242,syracuse,2010,nissan,excellent,4 cylinders,gas,143766,clean,automatic,fwd,mid-size,sedan,blue,ny,7203.524382535484
54243,prescott,1995,ford,excellent,6 cylinders,gas,259869,clean,automatic,rwd,full-size,truck,green,az,5818.9552348029465
54244,richmond,2014,ford,good,6 cylinders,gas,110156,clean,manual,fwd,full-size,SUV,black,va,8697.395717637944
54245,lewiston / clarkston,2003,FORD,good,8 cylinders,gas,150445,clean,manual,rwd,full-size,coupe,green,id,6401.479256739461
54246,eastern CT,2007,toyota,excellent,6 cylinders,gas,109425,clean,automatic,fwd,mid-size,sedan,blue,ct,8292.1107673997
54247,long island,2010,ford,excellent,8 cylinders,diesel,136683,rebuilt,automatic,4wd,full-size,pickup,black,ny,20615.796182700145
54248,knoxville,1991,chevrolet,good,6 cylinders,diesel,81215,clean,manual,4wd,full-size,truck,black,tn,17308.11591536525
54249,eastern NC,2011,MERCEDES-BENZ,like new,4 cylinders,,137799,rebuilt,automatic,fwd,mid-size,sedan,white,nc,11011.33574906159
54250,columbus,2007,volkswagen,good,6 cylinders,gas,218244,clean,automatic,fwd,mid-size,sedan,silver,oh,3290.7825140023438
54251,southwest michigan,2016,audi,excellent,4 cylinders,gas,178414,clean,manual,4wd,full-size,sedan,blue,,11233.60110533039
54252,high rockies,2004,jeep,excellent,6 cylinders,,138374,clean,manual,4wd,mid-size,SUV,red,co,10728.467398842784
54253,lewiston / clarkston,2009,chevrolet,excellent,6 cylinders,gas,133143,clean,manual,4wd,full-size,SUV,green,id,10346.567518123853
54254,albany,2015,JEEP,excellent,4 cylinders,gas,55220,clean,automatic,4wd,full-size,SUV,black,ny,18407.824788821094
54255,buffalo,2014,bmw,excellent,6 cylinders,gas,113013,clean,automatic,rwd,fullーsize,sedan,white,ny,12136.436751694964
54256,rochester,2010,ford,like new,6 cylinders,gas,109423,clean,manual,4wd,full-size,pickup,blue,ny,17292.33804918514
54257,central NJ,2012,ram,good,6 cylinders,gas,41784,salvage,automatic,rwd,full-size,SUV,black,nj,17105.246988763705
54258,rhode island,2010,bmw,fair,6 cylinders,gas,117067,clean,automatic,fwd,full-size,SUV,black,ri,6175.241902871907
54259,spokane / coeur d'alene,2001,chevrolet,good,8 cylinders,diesel,180534,clean,automatic,4wd,full-size,truck,silver,id,11301.762973697669
54260,imperial county,2007,honda,good,6 cylinders,gas,159117,clean,automatic,fwd,compact,coupe,brown,,4226.216796289661
54261,el paso,2005,ford,good,8 cylinders,diesel,86709,clean,automatic,4wd,full-size,pickup,white,tx,19178.685486974053
54262,las vegas,2001,ford,fair,8 cylinders,,145695,clean,manual,rwd,sub-compact,coupe,green,nv,4830.784022495989
54263,rhode island,2009,bmw,good,4 cylinders,gas,105811,clean,automatic,fwd,compact,coupe,black,ri,7254.975651976233
54264,san diego,2017,kia,excellent,4 cylinders,gas,119773,clean,automatic,fwd,mid-size,sedan,black,ca,8425.079370600006
54265,tallahassee,2009,ram,excellent,8 cylinders,diesel,221302,clean,other,4wd,full-size,pickup,black,fl,14451.886076070752
54266,yakima,2012,ford,good,6 cylinders,gas,74431,clean,automatic,fwd,full-size,SUV,blue,wa,10517.374499362304
54267,san diego,2011,GMC,excellent,6 cylinders,gas,120719,clean,automatic,fwd,mid-size,SUV,silver,ca,8942.117140541322
54268,columbia / jeff city,2008,ford,excellent,5 cylinders,gas,57676,clean,automatic,fwd,full-size,sedan,blue,mo,12769.657936807409
54269,spokane / coeur d'alene,2011,chevrolet,good,8 cylinders,gas,23609,rebuilt,automatic,4wd,full-size,truck,white,,23869.795559873888
54270,san diego,1998,nissan,good,4 cylinders,gas,177474,clean,manual,fwd,compact,hatchback,white,ca,4669.855365675196
54271,yuba-sutter,2010,bmw,excellent,4 cylinders,gas,97333,rebuilt,automatic,fwd,mid-size,sedan,red,ca,9327.650634998605
54272,tampa bay area,2017,TOYOTA,excellent,4 cylinders,,130976,clean,automatic,4wd,mid-size,SUV,black,fl,13375.100694593051
54273,bend,2008,toyota,excellent,4 cylinders,gas,137221,clean,automatic,fwd,mid-size,SUV,blue,or,8723.695951761414
54274,erie,1997,bmw,salvage,8 cylinders,gas,163553,clean,automatic,rwd,compact,coupe,silver,pa,4119.666492163685
54275,western slope,1996,ram,like new,6 cylinders,gas,140106,clean,automatic,4wd,full-size,truck,blue,co,16215.694466390376
54276,rochester,2016,jeep,good,6 cylinders,gas,20820,clean,automatic,4wd,mid-size,SUV,blue,ny,17891.76555891985
54277,skagit / island / SJI,2015,nissan,like new,4 cylinders,gas,68192,clean,automatic,fwd,compact,sedan,blue,wa,10022.103158425502
54278,boston,1964,ford,excellent,8 cylinders,diesel,55230,clean,manual,rwd,full-size,pickup,red,ma,15222.137557238566
54279,spokane / coeur d'alene,2019,ram,excellent,6 cylinders,diesel,20172,clean,automatic,4wd,full-size,truck,blue,id,41575.735251189275
54280,austin,2002,jeep,excellent,6 cylinders,gas,123461,clean,automatic,fwd,mid-size,SUV,white,tx,9443.075116666383
54281,south coast,1995,chevrolet,fair,8 cylinders,gas,31330,clean,automatic,rwd,full-size,convertible,green,ma,8975.554114240194
54282,rhode island,2001,ford,good,6 cylinders,gas,178573,clean,manual,fwd,mid-size,convertible,green,ri,4759.817196635394
54283,eau claire,1998,ram,excellent,8 cylinders,gas,101741,clean,manual,4wd,full-size,pickup,black,wi,16614.840955932734
54284,fayetteville,2015,jeep,excellent,4 cylinders,gas,146463,parts only,automatic,fwd,full-size,SUV,silver,nc,8073.348126867977
54285,long island,2013,gmc,excellent,4 cylinders,gas,92297,clean,automatic,fwd,mid-size,SUV,black,ny,11253.960063767705
54286,baltimore,2004,lexus,excellent,6 cylinders,gas,160826,clean,automatic,4wd,mid-size,SUV,red,md,9677.911075958069
54287,utica-rome-oneida,2013,ford,like new,10 cylinders,gas,172269,clean,automatic,4wd,full-size,SUV,grey,ny,13916.532892543879
54288,charlotte,2012,nissan,excellent,4 cylinders,gas,126581,rebuilt,automatic,fwd,mid-size,SUV,white,nc,10581.76295206982
54289,plattsburgh-adirondacks,1991,BMW,fair,6 cylinders,gas,133140,clean,manual,rwd,compact,coupe,silver,ny,5061.287563624092
54290,myrtle beach,1994,bmw,like new,8 cylinders,gas,127089,clean,manual,rwd,compact,convertible,black,sc,10045.988775255515
54291,baltimore,2010,jeep,excellent,6 cylinders,gas,84036,clean,automatic,4wd,mid-size,SUV,blue,,15937.563829975643
54292,northern michigan,1984,ford,good,8 cylinders,,161938,clean,manual,fwd,full-size,sedan,brown,mi,3831.4339993131857
54293,phoenix,1996,chevrolet,good,8 cylinders,gas,119412,clean,automatic,rwd,full-size,truck,white,,11816.327139642288
54294,orlando,2008,toyota,excellent,6 cylinders,gas,173386,clean,automatic,fwd,full-size,SUV,blue,fl,7327.442211595783
54295,memphis,2015,ford,excellent,4 cylinders,gas,23345,clean,manual,4wd,full-size,truck,silver,tn,23651.732501906576
54296,albany,2011,ford,good,4 cylinders,gas,-1,clean,automatic,fwd,full-size,sedan,black,ny,12154.427126225677
54297,lancaster,2010,bmw,like new,6 cylinders,gas,75463,clean,manual,rwd,mid-size,coupe,white,pa,15955.274054154575
